,Roles,Companies,Locations,Requirements
1799,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1800,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1801,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1802,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1803,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1804,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1805,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1806,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1807,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1808,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1809,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1810,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1811,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1812,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1813,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1814,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1815,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1816,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1817,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1818,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1819,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1820,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1821,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1822,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1823,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1824,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1825,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1826,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1827,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1828,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1829,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1830,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1831,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1832,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1833,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1834,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1835,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1836,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1837,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1838,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1839,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1840,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1841,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1842,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1843,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1844,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1845,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1846,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1847,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1848,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1849,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1850,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1851,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1852,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1853,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1854,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1855,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1856,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1857,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1858,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1859,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1860,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1861,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1862,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1863,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1864,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1865,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1866,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1867,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1868,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1869,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1870,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1871,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1872,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1873,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1874,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1875,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1876,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1877,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1878,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1879,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1880,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1881,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1882,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1883,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1884,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1885,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1886,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1887,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1888,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1889,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1890,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1891,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1892,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1893,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1894,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1895,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1896,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1897,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1898,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1899,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1900,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1901,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1902,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1903,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1904,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1905,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1906,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1907,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1908,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1909,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1910,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1911,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1912,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1913,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1914,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1915,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1916,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1917,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1918,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1919,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1920,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1921,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1922,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1923,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1924,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1925,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1926,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1927,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1928,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1929,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1930,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1931,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1932,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1933,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1934,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1935,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1936,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1937,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1938,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1939,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1940,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1941,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1942,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1943,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1944,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1945,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1946,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1947,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1948,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1949,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1950,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1951,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1952,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1953,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1954,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
